"Year","Plot","SpeciesID","TotalAbundance","Onset","Peak","End","Duration","Onset_DOY","Peak_DOY","End_DOY","Onset_Temp_50","Peak_Temp_50","End_Temp_50"
1996,"Art1","Acari",231,185.28107374801,199.947413907949,217.91932037151,32.6382466235001,168,187,208,-3.61041666666667,1.034,4.05991666666667
1996,"Art1","Agromyzidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","ANMU",1355,183.285223776407,196.8869389918,216.850676659295,33.5654528828879,167,183,204,-3.78483333333333,0.46575,3.7025
1996,"Art1","Aphidoidea",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Apidae",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Aranea",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Arthropoda",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Braconidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Calliphoridae",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Cecidomyiidae",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Ceraphronidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Ceraphronoidea",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Chalcidoidea",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","CHCE",6477,170.705386292239,182.751764964505,196.072128295875,25.3667420036357,160,172,184,-5.22783333333333,-2.77425,0.63975
1996,"Art1","Coccinellidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Coccoidea",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Coleoptera",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Collembola",65,178.559882666859,195.926238866978,216.372966444356,37.8130837774975,167,188,211,-3.78483333333333,1.23116666666667,4.35625
1996,"Art1","Copepoda",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Culicidae",98,188.718344073072,202.164857172768,213.674238424789,24.9558943517178,178,191,204,-0.696416666666667,1.52225,3.7025
1996,"Art1","Cynipoidea",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Dictynidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Diptera",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Empididae",77,184.113677931147,193.246842749762,205.371831470583,21.2581535394359,NA,NA,NA,NA,NA,NA
